工单编号,工单类型,问题分类,标签,标题,主要内容,工单状态,来电人,来电人电话/账号,被反映区,被反映街乡镇,办理结果,回复内容,处理受理方式,办结时间,企业名称,是否解决,是否满意,工单性质,村/社区,小区点位
热线-241009-000124,投诉,民政->养老服务->机构服务,接诉即办,关于史家营乡某商圈地下停车场的情况反映,市民称，房山区史家营乡某商圈地下停车场附近近期出现与机构服务相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,,赵某,156××××,房山区,史家营乡,,,联合办理,,某物业公司,部分解决,未评价,协办,某村党支部,某商圈地下停车场
热线-250204-000125,求助,公共安全->消防安全->通道占用,接诉即办,通道占用相关诉求,市民反映，房山区阎村镇某农贸市场附近存在通道占用相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,办理中,赵某,159××××,房山区,阎村镇,已转联合工作组处理，聚焦“通道占用”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与阎村镇相关单位沟通，针对“通道占用”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,系统转派,,某物业公司,解决,未评价,转办,不详,某农贸市场
热线-241113-000126,咨询,医疗卫生->医疗服务->挂号与退费,营商环境,关于向阳街道某餐馆门前区域的情况反映,市民称，房山区向阳街道某餐馆门前区域附近近期出现与挂号与退费相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,已转派,陈某,151××××,房山区,向阳街道,,工作人员联系诉求人并开展核实。经与向阳街道相关单位沟通，针对“挂号与退费”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,联合办理,2024-03-02 16:47:17,北京某商贸有限公司,未解决,不满意,转办,不详,某餐馆门前区域
热线-240226-000127,咨询,住房城乡建设->物业管理->电梯故障,七有五性,请求协调处理电梯故障问题,市民反映，房山区拱辰街道龙湖北京房山天街附近存在电梯故障相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,回复完成,郑某,198××××,房山区,拱辰街道,已转属地处理，聚焦“电梯故障”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与拱辰街道相关单位沟通，针对“电梯故障”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,联合办理,2024-01-07 10:05:57,,解决,不满意,主办,某小区业委会,龙湖北京房山天街
热线-240518-000128,咨询,城市管理->市容环境->占道经营,七有五性,请求协调处理占道经营问题,市民称，房山区向阳街道某地铁站口附近近期出现与占道经营相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,,陈某,136××××,房山区,向阳街道,,,联合办理,,北京某工程有限公司,解决,满意,协办,某某社区,某地铁站口
热线-241225-000129,控烟,,控烟,商场卫生间吸烟,市民反映，房山区新镇街道某农贸市场某写字楼存在吸烟问题，影响公共环境，来电反映控烟管理问题。,办理中,保密,保密,房山区,新镇街道,已转属地卫生健康监督机构并协调加强控烟劝导与执法巡查。,,电话,,,,,协办,不详,某农贸市场
热线-241128-000130,控烟,,"多样性,七有五性",公共场所吸烟,市民反映，房山区南窖乡某路口人行横道某餐馆存在吸烟问题，影响公共环境，来电反映控烟管理问题。,,李某,133××××,房山区,南窖乡,已督促场所管理方加强巡查并张贴禁烟标识，开展控烟宣传。,,电话,,,,,协办,某某社区,某路口人行横道
热线-240817-000131,求助,市场管理->单用途预付卡->健身卡、瑜伽卡、私教卡,七有五性,投诉单用途预付卡领域健身卡、瑜伽卡、私教卡事项,诉求人反映，房山区向阳街道范围内某地铁站口涉及健身卡、瑜伽卡、私教卡问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,,周某,150××××,房山区,向阳街道,,,系统转派,,,解决,未评价,转办,某某社区,某地铁站口
热线-240420-000132,求助,市场管理->单用途预付卡->游泳卡,营商环境,投诉单用途预付卡领域游泳卡事项,诉求人反映，房山区蒲洼乡范围内某农贸市场涉及游泳卡问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,回复完成,赵某,133××××,房山区,蒲洼乡,,,,2024-12-27 12:28:13,北京某体育发展有限公司,解决,未评价,协办,不详,某农贸市场
热线-240711-000133,咨询,市场管理->单用途预付卡->游泳卡,"多样性,七有五性",游泳卡相关诉求,市民称，房山区窦店镇某路口人行横道附近近期出现与游泳卡相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,已转派,马某,132××××,房山区,窦店镇,已转属地处理，聚焦“游泳卡”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与窦店镇相关单位沟通，针对“游泳卡”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,,,北京某健身休闲有限公司,解决,基本满意,主办,不详,某路口人行横道
热线-240104-000134,求助,城市管理->市容环境->占道经营,,占道经营相关诉求,诉求人反映，房山区西潞街道范围内某路口人行横道涉及占道经营问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,回复完成,刘某,155××××,房山区,西潞街道,已转属地处理，聚焦“占道经营”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与西潞街道相关单位沟通，针对“占道经营”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,电话,2024-11-09 13:57:52,某劳务公司,解决,满意,协办,某村党支部,某路口人行横道
热线-241024-000135,诉求,科体文宣->文化->文物保护,七有五性,关于青龙湖镇青龙湖环湖路的情况反映,来电人表示，其在房山区青龙湖镇辖区青龙湖环湖路附近发现文化方面文物保护情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,回复完成,孙某,133××××,房山区,青龙湖镇,已转行业主管部门处理，聚焦“文物保护”问题开展核查与回访。,,,2024-10-17 09:38:58,北京某餐饮管理有限公司,未解决,满意,转办,某村,青龙湖环湖路
热线-240430-000136,咨询,城市管理->市政设施->道路破损,"多样性,七有五性",请求协调处理道路破损问题,来电人表示，其在房山区石楼镇辖区石楼中学周边发现市政设施方面道路破损情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,已转派,陈某,152××××,房山区,石楼镇,,工作人员联系诉求人并开展核实。经与石楼镇相关单位沟通，针对“道路破损”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,现场,2024-09-30 10:33:49,,部分解决,满意,转办,某村,石楼中学周边
热线-240219-000137,求助,生态环境->大气污染->扬尘,营商环境,投诉大气污染领域扬尘事项,诉求人反映，房山区城关街道范围内某农贸市场涉及扬尘问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,回复完成,郑某,176××××,房山区,城关街道,已转属地处理，聚焦“扬尘”问题开展核查与回访。,,系统转派,2025-01-31 16:00:49,,未解决,不满意,主办,某小区业委会,某农贸市场
热线-240112-000138,控烟,,"多样性,七有五性",写字楼楼道吸烟,市民反映，房山区佛子庄乡某餐馆门前区域某餐馆存在吸烟问题，影响公共环境，来电反映控烟管理问题。,办理中,保密,保密,房山区,佛子庄乡,,,联合办理,,,,,转办,某某社区,某餐馆门前区域
热线-240315-000139,建议,科体文宣->文化->文物保护,"多样性,七有五性",请求协调处理文物保护问题,诉求人反映，房山区南窖乡范围内某小区及周边涉及文物保护问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,办理中,周某,138××××,房山区,南窖乡,,,,,北京某健身休闲有限公司,解决,不满意,转办,不详,某小区及周边
热线-240112-000140,建议,劳动和社会保障->拖欠工资->工程建设领域,接诉即办,工程建设领域相关诉求,市民称，房山区良乡镇某商圈地下停车场附近近期出现与工程建设领域相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,办理中,杨某,130××××,房山区,良乡镇,已转属地处理，聚焦“工程建设领域”问题开展核查与回访。,,,,北京某商贸有限公司,部分解决,未评价,转办,不详,某商圈地下停车场
热线-241231-000141,控烟,,,公共场所吸烟,市民反映，房山区青龙湖镇某医院西门某餐馆存在吸烟问题，影响公共环境，来电反映控烟管理问题。,回复完成,王某,132××××,房山区,青龙湖镇,已督促场所管理方加强巡查并张贴禁烟标识，开展控烟宣传。,,系统转派,2024-05-29 13:47:58,,,,协办,某村,某医院西门
热线-240820-000142,建议,市场管理->单用途预付卡->游泳卡,,游泳卡相关诉求,来电人表示，其在房山区长阳镇辖区某路口人行横道附近发现单用途预付卡方面游泳卡情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,,马某,137××××,房山区,长阳镇,已转行业主管部门处理，聚焦“游泳卡”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与长阳镇相关单位沟通，针对“游泳卡”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,系统转派,,北京某体育发展有限公司,未解决,基本满意,转办,某居委会,某路口人行横道
热线-250125-000143,投诉,生态环境->噪声->施工噪声,营商环境,投诉噪声领域施工噪声事项,市民反映，房山区东风街道某商圈地下停车场附近存在施工噪声相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,回复完成,王某,130××××,房山区,东风街道,已转属地处理，聚焦“施工噪声”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与东风街道相关单位沟通，针对“施工噪声”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,电话,2024-01-11 12:01:59,北京某健身休闲有限公司,未解决,基本满意,主办,某小区业委会,某商圈地下停车场
热线-250305-000144,求助,科体文宣->文化->文物保护,营商环境,关于拱辰街道某餐馆门前区域的情况反映,来电人表示，其在房山区拱辰街道辖区某餐馆门前区域附近发现文化方面文物保护情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,,周某,176××××,房山区,拱辰街道,已转属地处理，聚焦“文物保护”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与拱辰街道相关单位沟通，针对“文物保护”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,电话,,某劳务公司,部分解决,未评价,主办,某村,某餐馆门前区域
热线-250420-000145,求助,公共安全->消防安全->通道占用,营商环境,关于南窖乡某公园公厕的情况反映,市民反映，房山区南窖乡某公园公厕附近存在通道占用相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,已转派,孙某,135××××,房山区,南窖乡,,,,,,部分解决,基本满意,转办,不详,某公园公厕
热线-250308-000146,投诉,生态环境->噪声->施工噪声,控烟,施工噪声相关诉求,诉求人反映，房山区史家营乡范围内某农贸市场涉及施工噪声问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,回复完成,赵某,186××××,房山区,史家营乡,已转行业主管部门处理，聚焦“施工噪声”问题开展核查与回访。,,,2024-01-16 12:53:48,北京某健身休闲有限公司,部分解决,未评价,协办,不详,某农贸市场
热线-250304-000147,求助,生态环境->大气污染->扬尘,控烟,扬尘相关诉求,市民称，房山区东风街道某写字楼楼道附近近期出现与扬尘相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,,吴某,150××××,房山区,东风街道,,,,2024-10-03 15:19:53,,部分解决,不满意,协办,某小区业委会,某写字楼楼道
热线-240625-000148,投诉,科体文宣->体育->健身场所管理,,请求协调处理健身场所管理问题,来电人表示，其在房山区西潞街道辖区某写字楼楼道附近发现体育方面健身场所管理情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,已转派,杨某,130××××,房山区,西潞街道,已转属地处理，聚焦“健身场所管理”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与西潞街道相关单位沟通，针对“健身场所管理”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,,2024-10-15 20:20:34,,未解决,满意,转办,不详,某写字楼楼道
热线-240125-000149,建议,市场管理->单用途预付卡->游泳卡,"多样性,七有五性",关于东风街道某商圈地下停车场的情况反映,诉求人反映，房山区东风街道范围内某商圈地下停车场涉及游泳卡问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,回复完成,刘某,185××××,房山区,东风街道,已转联合工作组处理，聚焦“游泳卡”问题开展核查与回访。,,系统转派,2024-11-26 17:02:36,北京某健身休闲有限公司,解决,未评价,转办,不详,某商圈地下停车场
热线-240104-000150,投诉,市场管理->单用途预付卡->健身卡、瑜伽卡、私教卡,接诉即办,请求协调处理健身卡、瑜伽卡、私教卡问题,市民称，房山区南窖乡某小区及周边近期出现与健身卡、瑜伽卡、私教卡相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,,郑某,176××××,房山区,南窖乡,已转联合工作组处理，聚焦“健身卡、瑜伽卡、私教卡”问题开展核查与回访。,,电话,2024-04-22 08:00:58,北京某体育发展有限公司,解决,不满意,主办,某村党支部,某小区及周边
热线-240117-000151,建议,市场管理->单用途预付卡->游泳卡,七有五性,请求协调处理游泳卡问题,诉求人反映，房山区韩村河镇范围内某餐馆门前区域涉及游泳卡问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,,赵某,166××××,房山区,韩村河镇,已转行业主管部门处理，聚焦“游泳卡”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与韩村河镇相关单位沟通，针对“游泳卡”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,,2024-08-25 10:51:48,北京某体育发展有限公司,部分解决,基本满意,转办,某村党支部,某餐馆门前区域
热线-241022-000152,建议,教育->校外培训->预收费纠纷,控烟,投诉校外培训领域预收费纠纷事项,市民反映，房山区史家营乡某农贸市场附近存在预收费纠纷相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,,吴某,156××××,房山区,史家营乡,,工作人员联系诉求人并开展核实。经与史家营乡相关单位沟通，针对“预收费纠纷”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,现场,2024-10-16 12:48:28,某装饰工程有限公司,部分解决,不满意,主办,不详,某农贸市场
热线-240501-000153,诉求,城市管理->市容环境->占道经营,接诉即办,请求协调处理占道经营问题,来电人表示，其在房山区大安山乡辖区某产业园门口附近发现市容环境方面占道经营情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,回复完成,王某,139××××,房山区,大安山乡,,工作人员联系诉求人并开展核实。经与大安山乡相关单位沟通，针对“占道经营”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,现场,2024-12-19 09:47:24,北京某工程有限公司,未解决,基本满意,协办,某村党支部,某产业园门口
热线-240531-000154,咨询,教育->校外培训->预收费纠纷,控烟,关于河北镇河北镇矿区道路的情况反映,诉求人反映，房山区河北镇范围内河北镇矿区道路涉及预收费纠纷问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,,孙某,137××××,房山区,河北镇,,工作人员联系诉求人并开展核实。经与河北镇相关单位沟通，针对“预收费纠纷”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,电话,,某装饰工程有限公司,部分解决,基本满意,协办,不详,河北镇矿区道路
热线-250228-000155,求助,市场管理->单用途预付卡->健身卡、瑜伽卡、私教卡,营商环境,请求协调处理健身卡、瑜伽卡、私教卡问题,来电人表示，其在房山区迎风街道辖区某医院西门附近发现单用途预付卡方面健身卡、瑜伽卡、私教卡情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,已转派,王某,131××××,房山区,迎风街道,,工作人员联系诉求人并开展核实。经与迎风街道相关单位沟通，针对“健身卡、瑜伽卡、私教卡”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,电话,2024-05-27 08:42:47,,部分解决,不满意,协办,某居委会,某医院西门
热线-240807-000156,咨询,劳动和社会保障->社会保险->参保缴费,营商环境,关于韩村河镇某医院西门的情况反映,市民反映，房山区韩村河镇某医院西门附近存在参保缴费相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,已转派,赵某,130××××,房山区,韩村河镇,已转联合工作组处理，聚焦“参保缴费”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与韩村河镇相关单位沟通，针对“参保缴费”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,,,北京某商贸有限公司,解决,满意,主办,某小区业委会,某医院西门
热线-240504-000157,诉求,农业农村->农村道路->路灯与排水,营商环境,请求协调处理路灯与排水问题,市民反映，房山区蒲洼乡某商圈地下停车场附近存在路灯与排水相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,已转派,杨某,135××××,房山区,蒲洼乡,,,联合办理,2024-03-15 18:58:25,北京某商贸有限公司,解决,不满意,协办,某居委会,某商圈地下停车场
热线-240324-000158,投诉,农业农村->农村道路->路灯与排水,,关于史家营乡某小区及周边的情况反映,来电人表示，其在房山区史家营乡辖区某小区及周边发现农村道路方面路灯与排水情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,办理中,吴某,138××××,房山区,史家营乡,已转属地处理，聚焦“路灯与排水”问题开展核查与回访。,,联合办理,,,未解决,满意,主办,某居委会,某小区及周边
热线-240326-000159,投诉,市场管理->单用途预付卡->健身卡、瑜伽卡、私教卡,七有五性,投诉单用途预付卡领域健身卡、瑜伽卡、私教卡事项,来电人表示，其在房山区青龙湖镇辖区某路口人行横道附近发现单用途预付卡方面健身卡、瑜伽卡、私教卡情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,办理中,杨某,185××××,房山区,青龙湖镇,已转联合工作组处理，聚焦“健身卡、瑜伽卡、私教卡”问题开展核查与回访。,,电话,,北京某健身休闲有限公司,未解决,满意,主办,某某社区,某路口人行横道
热线-250128-000160,控烟,,七有五性,写字楼楼道吸烟,市民反映，房山区阎村镇阎村地铁站周边公共卫生间存在吸烟问题，影响公共环境，来电反映控烟管理问题。,,赵某,158××××,房山区,阎村镇,,,,,,,,转办,不详,阎村地铁站周边
热线-241118-000161,控烟,,,公共场所吸烟,市民反映，房山区佛子庄乡某医院西门某写字楼存在吸烟问题，影响公共环境，来电反映控烟管理问题。,办理中,王某,182××××,房山区,佛子庄乡,,,电话,,,,,协办,不详,某医院西门
热线-241004-000162,诉求,科体文宣->体育->健身场所管理,七有五性,健身场所管理相关诉求,市民称，房山区星城街道某地铁站口附近近期出现与健身场所管理相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,,马某,130××××,房山区,星城街道,已转属地处理，聚焦“健身场所管理”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与星城街道相关单位沟通，针对“健身场所管理”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,电话,2024-08-29 16:54:56,,未解决,未评价,主办,某小区业委会,某地铁站口
热线-240216-000163,诉求,生态环境->噪声->施工噪声,,施工噪声相关诉求,来电人表示，其在房山区张坊镇辖区某农贸市场附近发现噪声方面施工噪声情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,回复完成,周某,158××××,房山区,张坊镇,,,现场,2024-05-02 16:37:07,北京某工程有限公司,未解决,未评价,主办,某小区业委会,某农贸市场
热线-250423-000164,求助,科体文宣->文化->文物保护,七有五性,关于迎风街道某小区及周边的情况反映,市民反映，房山区迎风街道某小区及周边存在文物保护相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,回复完成,李某,130××××,房山区,迎风街道,,,现场,2024-12-06 09:37:22,北京某餐饮管理有限公司,部分解决,满意,主办,某村党支部,某小区及周边
热线-250318-000165,咨询,科体文宣->文化->文物保护,营商环境,请求协调处理文物保护问题,诉求人反映，房山区大石窝镇范围内某写字楼楼道涉及文物保护问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,回复完成,陈某,132××××,房山区,大石窝镇,已转联合工作组处理，聚焦“文物保护”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与大石窝镇相关单位沟通，针对“文物保护”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,电话,2025-01-10 11:56:46,某建筑公司,部分解决,未评价,主办,不详,某写字楼楼道
热线-240323-000166,投诉,住房城乡建设->物业管理->电梯故障,控烟,请求协调处理电梯故障问题,诉求人反映，房山区佛子庄乡范围内某商圈地下停车场涉及电梯故障问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,回复完成,王某,159××××,房山区,佛子庄乡,,工作人员联系诉求人并开展核实。经与佛子庄乡相关单位沟通，针对“电梯故障”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,联合办理,2025-03-22 11:46:48,某物业公司,部分解决,未评价,协办,某小区业委会,某商圈地下停车场
热线-240504-000167,诉求,劳动和社会保障->社会保险->参保缴费,接诉即办,参保缴费相关诉求,来电人表示，其在房山区大安山乡辖区某写字楼楼道附近发现社会保险方面参保缴费情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,回复完成,张某,135××××,房山区,大安山乡,,,电话,2025-02-03 10:48:45,北京某餐饮管理有限公司,部分解决,基本满意,主办,不详,某写字楼楼道
热线-250102-000168,咨询,市场管理->单用途预付卡->健身卡、瑜伽卡、私教卡,七有五性,投诉单用途预付卡领域健身卡、瑜伽卡、私教卡事项,诉求人反映，房山区城关街道范围内燕房线城关站周边涉及健身卡、瑜伽卡、私教卡问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,已转派,杨某,133××××,房山区,城关街道,已转属地处理，聚焦“健身卡、瑜伽卡、私教卡”问题开展核查与回访。,,联合办理,2024-04-12 11:08:47,北京某健身休闲有限公司,未解决,基本满意,转办,某村党支部,燕房线城关站周边
热线-240727-000169,投诉,城市管理->市容环境->占道经营,"多样性,七有五性",投诉市容环境领域占道经营事项,来电人表示，其在房山区张坊镇辖区某小区及周边发现市容环境方面占道经营情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,,杨某,131××××,房山区,张坊镇,已转属地处理，聚焦“占道经营”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与张坊镇相关单位沟通，针对“占道经营”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,电话,,某装饰工程有限公司,未解决,满意,主办,某小区业委会,某小区及周边
热线-240826-000170,投诉,交通运输->道路运输->非法营运,营商环境,关于迎风街道某地铁站口的情况反映,诉求人反映，房山区迎风街道范围内某地铁站口涉及非法营运问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,办理中,周某,158××××,房山区,迎风街道,已转属地处理，聚焦“非法营运”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与迎风街道相关单位沟通，针对“非法营运”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,电话,2024-06-18 16:47:53,北京某餐饮管理有限公司,部分解决,基本满意,协办,某某社区,某地铁站口
热线-240307-000171,建议,农业农村->农村道路->路灯与排水,七有五性,路灯与排水相关诉求,市民称，房山区城关街道燕房线城关站周边近期出现与路灯与排水相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,办理中,张某,151××××,房山区,城关街道,已转联合工作组处理，聚焦“路灯与排水”问题开展核查与回访。,,,2025-04-03 15:02:37,某物业公司,解决,满意,协办,某某社区,燕房线城关站周边
热线-241129-000172,建议,生态环境->噪声->施工噪声,接诉即办,投诉噪声领域施工噪声事项,诉求人反映，房山区石楼镇范围内石楼中学周边涉及施工噪声问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,回复完成,杨某,158××××,房山区,石楼镇,,工作人员联系诉求人并开展核实。经与石楼镇相关单位沟通，针对“施工噪声”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,联合办理,2024-02-19 12:16:42,北京某工程有限公司,解决,基本满意,主办,不详,石楼中学周边
热线-241125-000173,诉求,市场管理->单用途预付卡->游泳卡,"多样性,七有五性",投诉单用途预付卡领域游泳卡事项,市民反映，房山区佛子庄乡某写字楼楼道附近存在游泳卡相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,办理中,杨某,135××××,房山区,佛子庄乡,已转行业主管部门处理，聚焦“游泳卡”问题开展核查与回访。,,联合办理,2024-11-30 11:09:39,,未解决,未评价,主办,某小区业委会,某写字楼楼道
热线-240826-000174,求助,市场管理->单用途预付卡->游泳卡,控烟,游泳卡相关诉求,市民反映，房山区西潞街道北亚骨科医院周边存在游泳卡相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,回复完成,张某,188××××,房山区,西潞街道,,工作人员联系诉求人并开展核实。经与西潞街道相关单位沟通，针对“游泳卡”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,,2024-08-08 09:44:28,北京某健身休闲有限公司,解决,未评价,转办,某居委会,北亚骨科医院周边
热线-240314-000175,求助,生态环境->噪声->施工噪声,控烟,请求协调处理施工噪声问题,诉求人反映，房山区韩村河镇范围内韩村河大集涉及施工噪声问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,,王某,176××××,房山区,韩村河镇,,,电话,,,部分解决,满意,主办,某小区业委会,韩村河大集
热线-241115-000176,求助,生态环境->大气污染->扬尘,,请求协调处理扬尘问题,诉求人反映，房山区佛子庄乡范围内某小区及周边涉及扬尘问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,已转派,赵某,182××××,房山区,佛子庄乡,已转行业主管部门处理，聚焦“扬尘”问题开展核查与回访。,,现场,,北京某健身休闲有限公司,未解决,未评价,转办,某某社区,某小区及周边
热线-250128-000177,求助,农业农村->农村道路->路灯与排水,控烟,请求协调处理路灯与排水问题,市民反映，房山区张坊镇某学校门口附近存在路灯与排水相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,办理中,李某,155××××,房山区,张坊镇,已转联合工作组处理，聚焦“路灯与排水”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与张坊镇相关单位沟通，针对“路灯与排水”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,,,某物业公司,部分解决,满意,主办,某某社区,某学校门口
